incident_id,FacilityName,assigned_cell_id
1429,Station 20,220
1430,Station 11,250
1431,Station 23,177
1432,Station 26,452
1433,Station 28,435
1434,Station 21,350
1435,Station 19,249
1436,Station 22,439
1437,Station 34,47
1438,Station 19,249
1439,Station 21,350
1440,Station 08,270
1441,Station 37,80
1442,Station 12,352
1443,Station 10,345
1444,Station 01,329
1445,Station 08,270
1446,Station 14,354
1447,Station 33,501
1448,Station 04,430
1449,Station 04,430
1450,Station 06,375
1451,Station 33,501
1452,Station 01,329
1453,Station 24,228
1454,Station 28,435
1455,Station 20,220
1456,Station 21,350
1457,Station 20,220
1458,Station 06,375
1459,Station 14,354
1460,Station 25,276
1461,Station 18,355
1462,Station 37,80
1463,Station 09,296
1464,Station 27,318
1465,Station 06,375
1466,Station 29,386
1467,Station 05,296
1468,Station 19,249
1469,Station 14,354
1470,Station 25,276
1471,Station 18,355
1472,Station 01,329
1473,Station 12,352
1474,Station 15,432
1475,Station 11,250
1476,Station 05,296
1477,Station 34,47
1478,Station 06,375
1479,Station 04,430
1480,Station 04,430
1481,Station 08,270
1482,Station 25,276
1483,Station 12,352
1484,Station 01,329
1485,Station 28,435
1486,Station 12,352
